,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-06-15 ~ 2020-06-15,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,27,6.617647058823529,35100,2.444459920607285
3,,옛날크림빵, 1003,1,0.24509803921568626,1500,0.10446409917125148
4,,소보루빵, 1005,7,1.7156862745098038,9100,0.6337488683055923
5,,생크림빵, 1007,3,0.7352941176470589,7500,0.5223204958562574
6,,우유버터크림, 1009,6,1.4705882352941178,9000,0.6267845950275088
7,,소보루왕빵, 1013,2,0.49019607843137253,5000,0.3482136639041716
8,,찰브레드, 1163,2,0.49019607843137253,7600,0.5292847691343409
9,,땅콩크림 빵, 1256,1,0.24509803921568626,1500,0.10446409917125148
10,,찹쌀도넛, 1049,8,1.9607843137254901,12000,0.8357127933700118
11,,찹쌀스틱, 1050,5,1.2254901960784315,6500,0.45267776307542307
12,,생크림꽈베기, 1051,2,0.49019607843137253,5000,0.3482136639041716
13,,팥도넛, 1052,2,0.49019607843137253,3000,0.20892819834250295
14,,튀김소보루, 1053,4,0.9803921568627451,8000,0.5571418622466746
15,,소보루꽈베기, 1055,2,0.49019607843137253,3600,0.25071383801100355
16,,츄러스, 1056,4,0.9803921568627451,8000,0.5571418622466746
17,,고로케, 1166,5,1.2254901960784315,10000,0.6964273278083432
18,,피자 고로케, 1226,1,0.24509803921568626,2500,0.1741068319520858
19,,튀김 사라다, 1231,2,0.49019607843137253,5000,0.3482136639041716
20,,먹물외계인, 1283,4,0.9803921568627451,11600,0.8078557002576782
21,,옛날모찌, 1102,10,2.450980392156863,13000,0.9053555261508461
22,,왕만주, 1249,1,0.24509803921568626,2000,0.13928546556166865
23,,우유식빵, 1004,3,0.7352941176470589,9000,0.6267845950275088
24,,잡곡식빵, 1016,3,0.7352941176470589,9000,0.6267845950275088
25,,옥수수식빵, 1017,3,0.7352941176470589,7500,0.5223204958562574
26,,밤식빵, 1019,4,0.9803921568627451,20000,1.3928546556166863
27,,바게트, 1025,1,0.24509803921568626,3300,0.22982101817675327
28,,영양찰빵, 1244,1,0.24509803921568626,2500,0.1741068319520858
29,,새우바게트, 1026,38,9.313725490196079,190000,13.23211922835852
30,,크림치즈바게트, 1027,59,14.46078431372549,295000,20.544606170346125
31,,마늘바게트, 1028,10,2.450980392156863,35000,2.437495647329201
32,,연유볼, 1030,7,1.7156862745098038,35000,2.437495647329201
33,,불고기또띠아, 1034,2,0.49019607843137253,5000,0.3482136639041716
34,,알레스카, 1068,2,0.49019607843137253,7000,0.48749912946584023
35,,모카브리오슈, 1069,1,0.24509803921568626,3500,0.24374956473292012
36,,팡콩파이, 1071,1,0.24509803921568626,1500,0.10446409917125148
37,,우유크림파이, 1072,1,0.24509803921568626,3900,0.27160665784525384
38,,마롱브리오슈, 1073,2,0.49019607843137253,5600,0.3899993035726722
39,,나비파이, 1078,3,0.7352941176470589,8400,0.5849989553590083
40,,아몬드크로아상, 1080,2,0.49019607843137253,5000,0.3482136639041716
41,,이탈리아노 1개, 1157,2,0.49019607843137253,2600,0.18107110523016923
42,,크림치즈 페스트리, 1203,1,0.24509803921568626,2500,0.1741068319520858
43,,소세지 페스트리, 1208,1,0.24509803921568626,3500,0.24374956473292012
44,,블루베리 파이, 1267,3,0.7352941176470589,10500,0.7312486941987604
45,,말굽파이, 1279,5,1.2254901960784315,12500,0.870534159760429
46,,공룡알, 1037,10,2.450980392156863,28000,1.949996517863361
47,,에그모닝, 1038,1,0.24509803921568626,3500,0.24374956473292012
48,,거북이피쟈, 1046,5,1.2254901960784315,10000,0.6964273278083432
49,,롱소세지, 1047,5,1.2254901960784315,19500,1.3580332892262692
50,,바질크로깡, 1155,1,0.24509803921568626,3500,0.24374956473292012
51,,햄버거, 1184,3,0.7352941176470589,11700,0.8148199735357615
52,,야채빵, 1282,9,2.2058823529411766,16200,1.128212271049516
53,,앙버터, 1057,3,0.7352941176470589,5400,0.37607075701650533
54,,치즈 치아바타, 1059,1,0.24509803921568626,3300,0.22982101817675327
55,,콘브레드, 1225,3,0.7352941176470589,4500,0.3133922975137544
56,,엔젤쉬폰, 1094,1,0.24509803921568626,4500,0.3133922975137544
57,,쵸코머핀, 1098,1,0.24509803921568626,1800,0.12535691900550178
58,,코코넛케?, 1101,1,0.24509803921568626,2500,0.1741068319520858
59,,밀봉카스테라, 1168,6,1.4705882352941178,15000,1.0446409917125148
60,,대판카스테라, 1170,2,0.49019607843137253,40000,2.7857093112333726
61,,롤케이크2호, 1171,5,1.2254901960784315,100000,6.964273278083432
62,,밤파운드, 1177,3,0.7352941176470589,18000,1.2535691900550177
63,,시몬 (봉지), 1178,4,0.9803921568627451,20000,1.3928546556166863
64,,찹쌀카스테라, 1191,2,0.49019607843137253,12000,0.8357127933700118
65,,약식 브레드, 1230,1,0.24509803921568626,2500,0.1741068319520858
66,,밤롤, 1259,1,0.24509803921568626,6000,0.4178563966850059
67,,두부뽀빠이, 1083,3,0.7352941176470589,9000,0.6267845950275088
68,,마카롱, 1160,6,1.4705882352941178,12000,0.8357127933700118
69,,머랭쿠키, 1187,3,0.7352941176470589,13500,0.9401768925412634
70,,구리볼, 1188,1,0.24509803921568626,4500,0.3133922975137544
71,,누네띠네(3), 1251,2,0.49019607843137253,6000,0.4178563966850059
72,,미달이수찬이, 1271,2,0.49019607843137253,3400,0.23678529145483668
73,,찰보리빵, 1245,12,2.9411764705882355,15600,1.0864266313810154
74,,아메리카노(hot), 1137,3,0.7352941176470589,9000,0.6267845950275088
75,,아메리카노(ice), 1138,9,2.2058823529411766,28800,2.0057107040880284
76,,카페라테(hot), 1139,2,0.49019607843137253,6600,0.45964203635350653
77,,탄산음료, 1141,1,0.24509803921568626,1700,0.11839264572741834
78,,우유(200ml), 1142,4,0.9803921568627451,4000,0.2785709311233373
79,,우유(500ml), 1143,1,0.24509803921568626,1800,0.12535691900550178
80,,코롬방쉐이크, 1144,20,4.901960784313726,50000,3.482136639041716
81,,카페라테(ice), 1149,2,0.49019607843137253,7000,0.48749912946584023
82,,바나나우유, 1151,2,0.49019607843137253,2600,0.18107110523016923
83,,초코몽.딸기몽, 1152,2,0.49019607843137253,2200,0.1532140121178355
84,,생크림, 1180,1,0.24509803921568626,1000,0.06964273278083433
85,,팥빙수, 1275,9,2.2058823529411766,63000,4.387492165192562
86,,1호, 1211,1,0.24509803921568626,22000,1.532140121178355
