,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-06-16 ~ 2020-06-16,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,33,3.5143769968051117,42900,1.5114468315987515
3,,옛날크림빵, 1003,13,1.384451544195953,19500,0.6870212870903415
4,,소보루빵, 1005,17,1.810436634717785,22100,0.7786241253690538
5,,생크림빵, 1007,6,0.6389776357827476,15000,0.5284779131464166
6,,우유버터크림, 1009,25,2.6624068157614484,37500,1.3211947828660415
7,,완두앙금빵, 1010,25,2.6624068157614484,32500,1.1450354784839025
8,,생크림팥 왕빵, 1011,2,0.21299254526091588,5600,0.19729842090799551
9,,먹물떡왕빵, 1012,2,0.21299254526091588,5000,0.17615930438213886
10,,소보루왕빵, 1013,6,0.6389776357827476,15000,0.5284779131464166
11,,그린찰왕빵, 1014,4,0.42598509052183176,10000,0.35231860876427773
12,,옥수수왕빵, 1015,7,0.7454739084132055,17500,0.616557565337486
13,,찰브레드, 1163,3,0.3194888178913738,11400,0.4016432139912766
14,,맘모스, 1169,9,0.9584664536741214,27000,0.9512602436635498
15,,딸기잼빵, 1257,3,0.3194888178913738,3900,0.1374042574180683
16,,6세기, 1280,1,0.10649627263045794,3900,0.1374042574180683
17,,찹쌀도넛, 1049,20,2.1299254526091587,30000,1.0569558262928331
18,,찹쌀스틱, 1050,12,1.2779552715654952,15600,0.5496170296722732
19,,생크림꽈베기, 1051,19,2.0234291799787005,47500,1.673513391630319
20,,팥도넛, 1052,14,1.490947816826411,21000,0.7398690784049832
21,,튀김소보루, 1053,10,1.0649627263045793,19710,0.6944199778743914
22,,소보루꽈베기, 1055,7,0.7454739084132055,12600,0.4439214470429899
23,,츄러스, 1056,11,1.1714589989350372,22000,0.775100939281411
24,,고로케, 1166,15,1.597444089456869,29710,1.0467385866386691
25,,피자 고로케, 1226,5,0.5324813631522897,12500,0.4403982609553471
26,,튀김 사라다, 1231,5,0.5324813631522897,12000,0.42278233051713326
27,,먹물외계인, 1283,9,0.9584664536741214,25520,0.8991170895664368
28,,옛날모찌, 1102,16,1.703940362087327,20800,0.7328227062296976
29,,밤만주, 1109,6,0.6389776357827476,7800,0.2748085148361366
30,,완두만주, 1110,2,0.21299254526091588,2600,0.0916028382787122
31,,왕만주, 1249,7,0.7454739084132055,14000,0.4932460522699888
32,,우유식빵, 1004,4,0.42598509052183176,12000,0.42278233051713326
33,,잡곡식빵, 1016,4,0.42598509052183176,12000,0.42278233051713326
34,,옥수수식빵, 1017,5,0.5324813631522897,12500,0.4403982609553471
35,,밤식빵, 1019,5,0.5324813631522897,25000,0.8807965219106942
36,,환타스틱, 1023,2,0.21299254526091588,7000,0.2466230261349944
37,,초코깜파뉴, 1024,2,0.21299254526091588,7000,0.2466230261349944
38,,바게트, 1025,7,0.7454739084132055,23100,0.8138559862454815
39,,딸기잼, 1227,1,0.10649627263045794,4200,0.14797381568099663
40,,흑임자아몬드, 1242,2,0.21299254526091588,5800,0.20434479308328107
41,,국찌니빵, 1268,2,0.21299254526091588,3000,0.10569558262928332
42,,꿀빵, 1270,1,0.10649627263045794,3000,0.10569558262928332
