,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-03-08 ~ 2020-03-08,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,121,7.41421568627451,157300,2.8933790731254194
3,,옛날크림빵, 1003,44,2.696078431372549,66000,1.214005205507169
4,,소보루빵, 1005,37,2.267156862745098,48100,0.8847522785590126
5,,생크림빵, 1007,9,0.5514705882352942,22500,0.4138654109683531
6,,우유버터크림, 1009,37,2.267156862745098,55500,1.0208680137219377
7,,완두앙금빵, 1010,30,1.838235294117647,39000,0.7173667123451454
8,,생크림 팥 왕빵, 1011,7,0.42892156862745096,23100,0.4249018219275092
9,,소보루왕빵, 1013,4,0.24509803921568626,10000,0.18394018265260137
10,,그린찰왕빵, 1014,6,0.36764705882352944,15000,0.27591027397890205
11,,옥수수왕빵, 1015,13,0.7965686274509803,32500,0.5978055936209544
12,,찰브레드, 1163,9,0.5514705882352942,34200,0.6290754246718967
13,,맘모스, 1168,8,0.49019607843137253,24000,0.4414564383662433
14,,말랑 모카, 1171,11,0.6740196078431373,30800,0.5665357625700123
15,,고구마빵, 1172,16,0.9803921568627451,40000,0.7357607306104055
16,,생크림빵, 1183,1,0.061274509803921566,2500,0.04598504566315034
17,,찹쌀도넛, 1049,18,1.1029411764705883,27000,0.4966384931620237
18,,찹쌀스틱, 1050,18,1.1029411764705883,23400,0.43042002740708724
19,,생크림꽈베기, 1051,19,1.1642156862745099,47500,0.8737158675998565
20,,팥도넛, 1052,11,0.6740196078431373,16500,0.30350130137679227
21,,튀김소보루, 1053,12,0.7352941176470589,24000,0.4414564383662433
22,,옥수수꽈베기, 1054,2,0.12254901960784313,3600,0.06621846575493649
23,,소보루꽈베기, 1055,13,0.7965686274509803,23400,0.43042002740708724
24,,츄러스, 1056,6,0.36764705882352944,12000,0.22072821918312166
25,,고로케, 1166,11,0.6740196078431373,22000,0.404668401835723
26,,구운고로케, 1167,11,0.6740196078431373,24200,0.44513524201929533
27,,옛날모찌, 1102,38,2.3284313725490198,49400,0.9086645023038508
28,,우유식빵, 1004,1,0.061274509803921566,3000,0.055182054795780415
29,,잡곡식빵, 1016,3,0.18382352941176472,9000,0.16554616438734124
30,,옥수수식빵, 1017,11,0.6740196078431373,27500,0.5058355022946538
31,,밤식빵, 1019,5,0.30637254901960786,25000,0.4598504566315034
32,,모닝빵, 1022,2,0.12254901960784313,7000,0.12875812785682098
33,,환타스틱, 1023,3,0.18382352941176472,10500,0.19313719178523145
34,,초코깜파뉴, 1024,4,0.24509803921568626,14000,0.25751625571364195
35,,바게트, 1025,4,0.24509803921568626,13200,0.2428010411014338
36,,새우바게트, 1026,210,12.867647058823529,1050000,19.313719178523144
37,,크림치즈바게트, 1027,296,18.137254901960784,1480000,27.223147032585004
38,,마늘바게트, 1028,112,6.862745098039215,392000,7.210455159981974
39,,연유볼, 1030,92,5.637254901960785,459800,8.45756959836661
40,,불고기또띠아, 1034,10,0.6127450980392157,25000,0.4598504566315034
41,,알레스카, 1068,6,0.36764705882352944,21000,0.3862743835704629
42,,모카브리오슈, 1069,6,0.36764705882352944,21000,0.3862743835704629
43,,먹물크림파이, 1070,9,0.5514705882352942,35100,0.6456300411106308
44,,티라미슈파이, 1071,7,0.42892156862745096,27300,0.5021566986416017
45,,우유크림파이, 1072,5,0.30637254901960786,19500,0.3586833561725727
