,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-03-18 ~ 2020-03-18,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,57,9.878682842287695,74100,3.922087545651829
3,,옛날크림빵, 1003,14,2.4263431542461005,21000,1.1115227862171175
4,,소보루빵, 1005,14,2.4263431542461005,18200,0.9633197480548351
5,,우유버터크림, 1009,14,2.4263431542461005,21000,1.1115227862171175
6,,완두앙금빵, 1010,13,2.2530329289428077,16900,0.8945111946223469
7,,생크림팥 왕빵, 1011,1,0.1733102253032929,3300,0.17466786640554702
8,,소보루왕빵, 1013,4,0.6932409012131716,10000,0.529296564865294
9,,그린찰왕빵, 1014,3,0.5199306759098787,7500,0.3969724236489705
10,,옥수수왕빵, 1015,2,0.3466204506065858,5000,0.264648282432647
11,,맘모스, 1169,2,0.3466204506065858,6000,0.3175779389191764
12,,말랑 모카, 1174,2,0.3466204506065858,5600,0.29640607632456467
13,,찹쌀도넛, 1049,12,2.079722703639515,18000,0.9527338167575292
14,,찹쌀스틱, 1050,10,1.733102253032929,13000,0.6880855343248823
15,,생크림꽈베기, 1051,4,0.6932409012131716,10000,0.529296564865294
16,,팥도넛, 1052,9,1.559792027729636,13500,0.714550362568147
17,,튀김소보루, 1053,8,1.3864818024263432,16000,0.8468745037844705
18,,소보루꽈베기, 1055,6,1.0398613518197575,10800,0.5716402900545176
19,,츄러스, 1056,5,0.8665511265164645,10000,0.529296564865294
20,,고로케, 1166,12,2.079722703639515,24000,1.2703117556767056
21,,구운고로케, 1167,5,0.8665511265164645,11000,0.5822262213518234
22,,옛날모찌, 1102,12,2.079722703639515,15600,0.8257026411898587
23,,황란빵, 1108,2,0.3466204506065858,2600,0.13761710686497644
24,,밤만주, 1109,5,0.8665511265164645,6500,0.34404276716244114
25,,만주 선물세트, 1189,1,0.1733102253032929,19500,1.0321283014873233
26,,우유식빵, 1004,7,1.2131715771230502,21000,1.1115227862171175
27,,잡곡식빵, 1016,4,0.6932409012131716,12000,0.6351558778383528
28,,옥수수식빵, 1017,8,1.3864818024263432,20000,1.058593129730588
29,,밤식빵, 1019,4,0.6932409012131716,20000,1.058593129730588
30,,모닝빵, 1022,1,0.1733102253032929,3500,0.1852537977028529
31,,환타스틱, 1023,3,0.5199306759098787,10500,0.5557613931085588
32,,바게트, 1025,4,0.6932409012131716,13200,0.6986714656221881
33,,새우바게트, 1026,49,8.492201039861351,245000,12.967765839199703
34,,크림치즈바게트, 1027,73,12.651646447140381,365000,19.31932461758323
35,,마늘바게트, 1028,27,4.679376083188908,94500,5.001852537977029
36,,연유볼, 1030,21,3.6395147313691507,105000,5.557613931085587
37,,불고기또띠아, 1034,3,0.5199306759098787,7500,0.3969724236489705
38,,알레스카, 1068,1,0.1733102253032929,3500,0.1852537977028529
39,,모카브리오슈, 1069,3,0.5199306759098787,10500,0.5557613931085588
40,,먹물크림파이, 1070,2,0.3466204506065858,7800,0.41285132059492935
41,,우유크림파이, 1072,6,1.0398613518197575,23400,1.238553961784788
42,,콘치즈트라이, 1074,2,0.3466204506065858,7000,0.3705075954057058
43,,크로아상, 1077,1,0.1733102253032929,2000,0.10585931297305881
44,,종이파이, 1079,2,0.3466204506065858,5600,0.29640607632456467
45,,아몬드크로아상, 1080,1,0.1733102253032929,2500,0.1323241412163235
46,,몽블랑, 1081,1,0.1733102253032929,3800,0.20113269464881173
47,,이탈리아노 1개, 1157,3,0.5199306759098787,3900,0.20642566029746467
48,,공룡알, 1037,10,1.733102253032929,28000,1.4820303816228233
49,,에그모닝, 1038,3,0.5199306759098787,10500,0.5557613931085588
50,,닭가슴살샐러드, 1042,1,0.1733102253032929,4900,0.2593553167839941
51,,야채사라다, 1044,2,0.3466204506065858,7800,0.41285132059492935
52,,양파랑치즈랑, 1045,3,0.5199306759098787,9900,0.5240035992166411
53,,거북이피쟈, 1046,6,1.0398613518197575,12000,0.6351558778383528
54,,바질크로깡, 1155,1,0.1733102253032929,3500,0.1852537977028529
55,,햄버거, 1184,1,0.1733102253032929,3900,0.20642566029746467
56,,앙버터, 1057,5,0.8665511265164645,9000,0.4763669083787646
57,,플레인 치아바타, 1058,1,0.1733102253032929,2200,0.11644524427036468
58,,치즈 치아바타, 1059,2,0.3466204506065858,6600,0.34933573281109404
59,,올리브 치아바타, 1060,1,0.1733102253032929,3300,0.17466786640554702
60,,마크로네, 1164,2,0.3466204506065858,9000,0.4763669083787646
61,,대왕카스테라1/4, 1093,3,0.5199306759098787,18000,0.9527338167575292
62,,엔젤쉬폰, 1094,2,0.3466204506065858,9000,0.4763669083787646
63,,코코넛케?, 1101,3,0.5199306759098787,7500,0.3969724236489705
64,,1호, 1128,1,0.1733102253032929,22000,1.164452442703647
65,,2호, 1129,1,0.1733102253032929,27000,1.429100725136294
66,,3호, 1130,1,0.1733102253032929,33000,1.7466786640554703
67,,롤케이크1호, 1162,4,0.6932409012131716,40000,2.117186259461176
68,,밀봉카스테라, 1168,13,2.2530329289428077,32500,1.7202138358122057
69,,롤케이크2호, 1171,2,0.3466204506065858,40000,2.117186259461176
70,,밤파운드, 1177,6,1.0398613518197575,36000,1.9054676335150584
71,,시몬 (봉지), 1178,2,0.3466204506065858,10000,0.529296564865294
72,,두부뽀빠이, 1083,2,0.3466204506065858,6000,0.3175779389191764
73,,기페리, 1090,2,0.3466204506065858,5000,0.264648282432647
74,,마카롱, 1160,2,0.3466204506065858,4000,0.21171862594611762
75,,구리볼, 1188,1,0.1733102253032929,4500,0.2381834541893823
76,,깍두기 러스크, 1194,2,0.3466204506065858,6600,0.34933573281109404
77,,아메리카노(hot), 1137,14,2.4263431542461005,42000,2.223045572434235
78,,아메리카노(ice), 1138,8,1.3864818024263432,25600,1.3549992060551528
79,,카페라테(hot), 1139,2,0.3466204506065858,6600,0.34933573281109404
80,,우유(200ml), 1142,3,0.5199306759098787,3000,0.1587889694595882
81,,우유(500ml), 1143,3,0.5199306759098787,5400,0.2858201450272588
82,,코롬방쉐이크, 1144,11,1.9064124783362217,27500,1.4555655533795586
83,,카페라테(ice), 1149,3,0.5199306759098787,10500,0.5557613931085588
84,,바나나우유, 1151,2,0.3466204506065858,2600,0.13761710686497644
85,,초코몽.딸기몽, 1152,1,0.1733102253032929,1100,0.05822262213518234
86,,요거트파르페, 1165,2,0.3466204506065858,7000,0.3705075954057058
87,,합  계,,577,,"1,889,300",
