 상품매출현황(전체) ,,,,,
조회기간 : 2020-03-03 ~ 2020-03-03,,,,,
상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
단팥빵, 1002,28,5.76,"36,400",2.24
옛날크림빵, 1003,12,2.47,"18,000",1.11
소보루빵, 1005,9,1.85,"11,700",0.72
생크림빵, 1007,4,0.82,"10,000",0.61
우유버터크림, 1009,5,1.03,"7,500",0.46
완두앙금빵, 1010,17,3.50,"22,100",1.36
생크림팥 왕빵, 1011,2,0.41,"6,600",0.41
소보루왕빵, 1013,2,0.41,"5,000",0.31
그린찰왕빵, 1014,3,0.62,"7,500",0.46
옥수수왕빵, 1015,4,0.82,"10,000",0.61
찰브레드, 1163,4,0.82,"15,200",0.93
맘모스, 1169,3,0.62,"9,000",0.55
말랑 모카, 1174,4,0.82,"11,200",0.69
찹쌀도넛, 1049,4,0.82,"6,000",0.37
찹쌀스틱, 1050,11,2.26,"14,300",0.88
생크림꽈베기, 1051,5,1.03,"12,500",0.77
팥도넛, 1052,10,2.06,"15,000",0.92
튀김소보루, 1053,11,2.26,"22,000",1.35
소보루꽈베기, 1055,8,1.65,"14,400",0.88
츄러스, 1056,4,0.82,"8,000",0.49
고로케, 1166,5,1.03,"10,000",0.61
구운고로케, 1167,2,0.41,"4,400",0.27
옛날모찌, 1102,18,3.70,"23,000",1.41
우유식빵, 1004,10,2.06,"30,000",1.84
잡곡식빵, 1016,1,0.21,"3,000",0.18
옥수수식빵, 1017,4,0.82,"10,000",0.61
밤식빵, 1019,3,0.62,"15,000",0.92
모닝빵, 1022,1,0.21,"3,500",0.22
환타스틱, 1023,2,0.41,"7,000",0.43
초코깜파뉴, 1024,1,0.21,"3,500",0.22
바게트, 1025,1,0.21,"3,300",0.20
새우바게트, 1026,50,10.29,"250,000",15.36
크림치즈바게트, 1027,72,14.81,"360,000",22.12
마늘바게트, 1028,19,3.91,"66,500",4.09
연유볼, 1030,21,4.32,"105,000",6.45
불고기또띠아, 1034,3,0.62,"7,500",0.46
알레스카, 1068,4,0.82,"14,000",0.86
모카브리오슈, 1069,1,0.21,"3,500",0.22
먹물크림파이, 1070,3,0.62,"11,700",0.72
티라미슈파이, 1071,5,1.03,"19,500",1.20
우유크림파이, 1072,4,0.82,"15,600",0.96
마롱브리오슈, 1073,3,0.62,"8,400",0.52
콘치즈트라이, 1074,1,0.21,"3,500",0.22
아몬드크로아상, 1080,1,0.21,"2,500",0.15
몽블랑, 1081,4,0.82,"15,200",0.93
이탈리아노 1개, 1157,4,0.82,"3,200",0.20
이탈리아노 5개, 1158,2,0.41,"7,000",0.43
공룡알, 1037,4,0.82,"11,200",0.69
이탈리안피자, 1043,1,0.21,"3,900",0.24
야채사라다, 1044,2,0.41,"7,800",0.48
양파랑치즈랑, 1045,1,0.21,"3,300",0.20
거북이피쟈, 1046,6,1.23,"12,000",0.74
앙버터, 1057,4,0.82,"7,200",0.44
플레인 치아바타, 1058,5,1.03,"11,000",0.68
치즈 치아바타, 1059,2,0.41,"6,600",0.41
올리브 치아바타, 1060,2,0.41,"6,600",0.41
노아레장, 1062,2,0.41,"7,000",0.43
마크로네, 1164,4,0.82,"18,000",1.11
대왕카스테라1/4, 1093,1,0.21,"6,000",0.37
엔젤쉬폰, 1094,3,0.62,"13,500",0.83
코코넛케?, 1101,5,1.03,"12,500",0.77
1호, 1128,1,0.21,"22,000",1.35
2호, 1129,1,0.21,"27,000",1.66
롤케이크1호, 1162,2,0.41,"20,000",1.23
밀봉카스테라, 1168,7,1.44,"17,500",1.08
대판카스테라, 1170,2,0.41,"40,000",2.46
롤케이크2호, 1171,1,0.21,"20,000",1.23
마블카스테라, 1186,1,0.21,"4,500",0.28
꿀빵, 1112,3,0.62,"10,500",0.65
아메리카노(hot), 1137,7,1.44,"21,000",1.29
아메리카노(ice), 1138,1,0.21,"3,200",0.20
카페라테(hot), 1139,6,1.23,"19,800",1.22
탄산음료, 1141,4,0.82,"6,800",0.42
우유(200ml), 1142,1,0.21,"1,000",0.06
우유(500ml), 1143,2,0.41,"3,600",0.22
코롬방쉐이크, 1144,1,0.21,"2,500",0.15
아이스크림, 1147,1,0.21,"2,500",0.15
바나나우유, 1151,2,0.41,"2,600",0.16
요거트파르페, 1165,1,0.21,"3,500",0.22
생크림, 1180,5,1.03,"5,000",0.31
합  계,,486,,"1,627,800",
