,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-03-03 ~ 2020-03-03,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,37,4.731457800511509,48100,2.011878868997825
3,,옛날크림빵, 1003,37,4.731457800511509,55500,2.3213986949974905
4,,소보루빵, 1005,33,4.219948849104859,42900,1.7943784507277898
5,,생크림빵, 1007,3,0.3836317135549872,7500,0.3137025263510122
6,,우유버터크림, 1009,16,2.0460358056265986,24000,1.0038480843232391
7,,완두앙금빵, 1010,31,3.9641943734015346,40300,1.6856282415927724
8,,생크림 팥 왕빵, 1011,12,1.5345268542199488,39600,1.6563493391333446
9,,소보루왕빵, 1013,7,0.8951406649616368,17500,0.7319725614856951
10,,그린찰왕빵, 1014,5,0.639386189258312,12500,0.5228375439183537
11,,옥수수왕빵, 1015,8,1.0230179028132993,20000,0.8365400702693659
12,,찰브레드, 1163,4,0.5115089514066496,15200,0.635770453404718
13,,맘모스, 1168,4,0.5115089514066496,12000,0.5019240421616196
14,,말랑 모카, 1171,4,0.5115089514066496,11200,0.4684624393508449
15,,생크림빵, 1183,5,0.639386189258312,12500,0.5228375439183537
16,,찹쌀도넛, 1049,16,2.0460358056265986,24000,1.0038480843232391
17,,찹쌀스틱, 1050,8,1.0230179028132993,10400,0.43500083654007027
18,,생크림꽈베기, 1051,15,1.918158567774936,37500,1.568512631755061
19,,팥도넛, 1052,10,1.278772378516624,15000,0.6274050527020244
20,,튀김소보루, 1053,10,1.278772378516624,20000,0.8365400702693659
21,,옥수수꽈베기, 1054,1,0.1278772378516624,1800,0.07528860632424293
22,,소보루꽈베기, 1055,10,1.278772378516624,18000,0.7528860632424293
23,,츄러스, 1056,2,0.2557544757033248,4000,0.1673080140538732
24,,고로케, 1166,9,1.1508951406649617,18000,0.7528860632424293
25,,구운고로케, 1167,5,0.639386189258312,11000,0.46009703864815127
26,,옛날모찌, 1102,21,2.6854219948849103,27300,1.1418771959176846
27,,우유식빵, 1004,2,0.2557544757033248,6000,0.2509620210808098
28,,잡곡식빵, 1016,1,0.1278772378516624,3000,0.1254810105404049
29,,옥수수식빵, 1017,6,0.7672634271099744,15000,0.6274050527020244
30,,밤식빵, 1019,7,0.8951406649616368,35000,1.4639451229713902
31,,모닝빵, 1022,3,0.3836317135549872,10500,0.4391835368914171
32,,환타스틱, 1023,2,0.2557544757033248,7000,0.2927890245942781
33,,초코깜파뉴, 1024,3,0.3836317135549872,10500,0.4391835368914171
34,,바게트, 1025,3,0.3836317135549872,9900,0.41408733478333615
35,,새우바게트, 1026,78,9.974424552429667,390000,16.312531370252636
36,,크림치즈바게트, 1027,101,12.915601023017903,505000,21.12263677430149
37,,마늘바게트, 1028,29,3.70843989769821,101500,4.245440856617032
38,,마늘스틱, 1029,1,0.1278772378516624,1500,0.06274050527020245
39,,연유볼, 1030,23,2.9411764705882355,115000,4.810105404048854
40,,불고기또띠아, 1034,4,0.5115089514066496,10000,0.41827003513468297
41,,알레스카, 1068,8,1.0230179028132993,28000,1.1711560983771123
42,,모카브리오슈, 1069,6,0.7672634271099744,21000,0.8783670737828342
43,,먹물크림파이, 1070,2,0.2557544757033248,7800,0.32625062740505273
44,,티라미슈파이, 1071,6,0.7672634271099744,23400,0.9787518822151581
45,,우유크림파이, 1072,7,0.8951406649616368,27300,1.1418771959176846
46,,마롱브리오슈, 1073,6,0.7672634271099744,16800,0.7026936590262673
47,,콘치즈트라이, 1074,6,0.7672634271099744,21000,0.8783670737828342
48,,크로아상, 1077,1,0.1278772378516624,2000,0.0836540070269366
49,,아몬드크로아상, 1080,5,0.639386189258312,12500,0.5228375439183537
50,,몽블랑, 1081,5,0.639386189258312,19000,0.7947130667558976
51,,이탈리아노 1개, 1155,16,2.0460358056265986,12600,0.5270202442697005
52,,이탈리아노 5개, 1156,2,0.2557544757033248,7000,0.2927890245942781
53,,공룡알, 1037,4,0.5115089514066496,7000,0.2927890245942781
54,,이탈리안피쟈, 1043,5,0.639386189258312,19500,0.8156265685126317
55,,야채사라다, 1044,9,1.1508951406649617,35100,1.468127823322737
56,,양파랑치즈랑, 1045,8,1.0230179028132993,26400,1.104232892755563
57,,거북이피쟈, 1046,8,1.0230179028132993,16000,0.6692320562154928
58,,바질크로깡, 1161,5,0.639386189258312,17500,0.7319725614856951
59,,앙버터, 1057,12,1.5345268542199488,21600,0.9034632758909151
60,,플레인 치아바타, 1058,2,0.2557544757033248,4400,0.18403881545926049
61,,치츠 치아바타, 1059,3,0.3836317135549872,9900,0.41408733478333615
62,,올리브 치아바타, 1060,2,0.2557544757033248,6600,0.27605822318889073
63,,노아레장, 1062,2,0.2557544757033248,7000,0.2927890245942781
64,,마크로네, 1173,4,0.5115089514066496,18000,0.7528860632424293
65,,대왕카스테라1/4, 1093,6,0.7672634271099744,36000,1.5057721264848587
