,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-02-25 ~ 2020-02-25,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,47,5.471478463329452,61100,2.218349489888538
3,,옛날크림빵, 1003,25,2.910360884749709,37500,1.3615074610608866
4,,소보루빵, 1005,24,2.7939464493597206,31200,1.1327742076026577
5,,소보루크림빵, 1008,5,0.5820721769499418,12500,0.45383582035362885
6,,우유버터크림, 1009,31,3.608847497089639,46500,1.6882692517154994
7,,완두앙금빵, 1010,40,4.656577415599535,52000,1.887957012671096
8,,생크림팥 왕빵, 1011,11,1.280558789289872,36300,1.3179392223069382
9,,소보루왕빵, 1013,4,0.46565774155995343,10000,0.3630686562829031
10,,그린찰왕빵, 1014,1,0.11641443538998836,2500,0.09076716407072577
11,,찰브레드, 1163,3,0.3492433061699651,11400,0.4138982681625095
12,,맘모스, 1169,4,0.46565774155995343,12000,0.43568238753948374
13,,말랑 모카, 1174,4,0.46565774155995343,11200,0.40663689503685146
14,,찹쌀도넛, 1049,16,1.8626309662398137,24000,0.8713647750789675
15,,찹쌀스틱, 1050,14,1.6298020954598371,18200,0.6607849544348836
16,,생크림꽈베기, 1051,18,2.0954598370197903,45000,1.633808953273064
17,,팥도넛, 1052,15,1.7462165308498254,22500,0.816904476636532
18,,튀김소보루, 1053,11,1.280558789289872,22000,0.7987510438223868
19,,소보루꽈베기, 1055,10,1.1641443538998837,18000,0.6535235813092256
20,,츄러스, 1056,4,0.46565774155995343,8000,0.2904549250263225
21,,고로케, 1166,8,0.9313154831199069,16000,0.580909850052645
22,,구운고로케, 1167,6,0.6984866123399301,13200,0.47925062629343207
23,,옛날모찌, 1102,17,1.979045401629802,22100,0.8023817303852159
24,,우유식빵, 1004,7,0.8149010477299186,21000,0.7624441781940965
25,,잡곡식빵, 1016,5,0.5820721769499418,15000,0.5446029844243546
26,,옥수수식빵, 1017,7,0.8149010477299186,17500,0.6353701484950804
27,,밤식빵, 1019,6,0.6984866123399301,30000,1.0892059688487092
28,,환타스틱, 1023,2,0.23282887077997672,7000,0.25414805939803214
29,,초코깜파뉴, 1024,5,0.5820721769499418,17500,0.6353701484950804
30,,바게트, 1025,7,0.8149010477299186,23100,0.8386885960135062
31,,새우바게트, 1026,106,12.339930151338766,530000,19.242638782993865
32,,크림치즈바게트, 1027,119,13.853317811408616,595000,21.602585048832733
33,,마늘바게트, 1028,37,4.307334109429569,129500,4.701739098863595
34,,연유볼, 1030,24,2.7939464493597206,120000,4.356823875394837
35,,불고기또띠아, 1034,9,1.0477299185098952,22500,0.816904476636532
36,,알레스카, 1068,8,0.9313154831199069,28000,1.0165922375921286
37,,모카브리오슈, 1069,7,0.8149010477299186,24500,0.8895182078931125
38,,먹물크림파이, 1070,5,0.5820721769499418,19500,0.707983879751661
39,,우유크림파이, 1072,7,0.8149010477299186,27300,0.9911774316523254
40,,마롱브리오슈, 1073,5,0.5820721769499418,12500,0.45383582035362885
41,,콘치즈트라이, 1074,4,0.46565774155995343,14000,0.5082961187960643
42,,아몬드크로아상, 1080,6,0.6984866123399301,15000,0.5446029844243546
43,,몽블랑, 1081,5,0.5820721769499418,19000,0.6898304469375158
44,,이탈리아노 1개, 1157,11,1.280558789289872,8800,0.31950041752895475
45,,공룡알, 1037,14,1.6298020954598371,39200,1.42322913262898
46,,이탈리안피자, 1043,3,0.3492433061699651,14700,0.5337109247358676
47,,야채사라다, 1044,7,0.8149010477299186,34300,1.2453254910503577
48,,양파랑치즈랑, 1045,6,0.6984866123399301,19800,0.7188759394401482
49,,거북이피쟈, 1046,11,1.280558789289872,22000,0.7987510438223868
50,,바질크로깡, 1155,3,0.3492433061699651,10500,0.38122208909704824
51,,앙버터, 1057,8,0.9313154831199069,14400,0.5228188650473805
52,,플레인쟈파타, 1058,3,0.3492433061699651,5400,0.19605707439276768
53,,올리브챠파타, 1060,2,0.23282887077997672,6000,0.21784119376974187
54,,노아레장, 1062,1,0.11641443538998836,3500,0.12707402969901607
55,,마크로네, 1164,3,0.3492433061699651,13500,0.4901426859819192
56,,대왕카스테라1/4, 1093,11,1.280558789289872,66000,2.3962531314671605
57,,엔젤쉬폰, 1094,10,1.1641443538998837,45000,1.633808953273064
58,,코코넛케?, 1101,8,0.9313154831199069,20000,0.7261373125658062
59,,1호, 1128,1,0.11641443538998836,22000,0.7987510438223868
60,,3호, 1130,1,0.11641443538998836,30000,1.0892059688487092
61,,밤파운드, 1177,1,0.11641443538998836,6000,0.21784119376974187
62,,꿀빵, 1112,7,0.8149010477299186,24500,0.8895182078931125
63,,아메리카노(hot), 1137,18,2.0954598370197903,54000,1.9605707439276767
64,,아메리카노(ice), 1138,4,0.46565774155995343,12800,0.46472788004211596
65,,카페라테(hot), 1139,8,0.9313154831199069,26400,0.9585012525868641
66,,탄산음료, 1141,3,0.3492433061699651,4500,0.1633808953273064
67,,우유(200ml), 1142,5,0.5820721769499418,5000,0.18153432814145154
68,,바나나우유, 1151,4,0.46565774155995343,5200,0.18879570126710962
69,,초코몽.딸기몽, 1152,2,0.23282887077997672,2200,0.07987510438223869
70,,핑크레모네이드, 1153,1,0.11641443538998836,3500,0.12707402969901607
71,,요거트파르페, 1165,4,0.46565774155995343,14000,0.5082961187960643
72,,합  계,,859,,"2,754,300",
